"","number","snippet","type_of_material"
"42",42,"TOKIO, Oct. 27, (Associated Press.)-- During the recent consideration of the German Peace Treaty by the Privy Council some of the members criticised the Government and the Japanese delegates to the Paris Conference, charging ...","Article"
"43",43,"H. L. Stratton wins low net prize","Article"
"44",44,"Amer Defense Soc warns of general strike by employes","Article"
"45",45,"The Business Men's Anti-Stock-Swindling League, formed to come at the ruthless stock jobber, with which the New York Stock Exchange has joined forces, has issued a circular which is being distributed to all influential business houses in the Secon...","Article"
"46",46,"The radical misleaders of organized labor have long had hopes of, and of late have been making vain bids for, the support of the farmers. Farmers are naturally and traditionally conservative.","Editorial"
"47",47,"LONDON, Nov. 1, (Associated Press) --A wireless message sent from Moscow and signed by Trotzky declares that the  anti-Bolshevist forces have been driven ...","Article"
"48",48,"lr from G. F. McGimsey replying to attack on Gen Pershing","Letter"
"49",49,"For the first time since the strike of the longshoremen started, nearly four weeks ago, several hundred members of the International Longshoremen's Association were reported at work yesterday on the Chelsea piers, with the promise of still more sh...","Article"
"50",50,"ROME, Oct. 31.--Signor Nitti, the Italian Premier, in his letter to his constituents coming out boldly for an Italian Fiume, said he placed great faith ...  in the League of Nations, but that in order that it might be successful Italy should not h...","Article"
"51",51,"troops withdrawn; operators say strike is over","Article"
"52",52,"Police reserves from two stations were ordered to the Hotel Commodore yesterday after information had reached Inspector Thomas V. Underhill that a committee of women would attempt to form a parade there as part of a propaganda movement for the lif...","Article"
"53",53,"","Article"
"54",54,"""Behold, my son, with how little wisdom the world is governed,"" wrote OXENSTIERN some three hundred years ago. How far have the world's Governments advanced in the paths of wisdom in the intervening centuries?  ","Editorial"
"55",55,"","Article"
"56",56,"","Article"
"57",57,"automobiles searched by agents of Federal Govt for shipment of liquor","Article"
"58",58,"becomes of age; is entitled to occupy seat in Belgian Senate","Article"
"59",59,"Sales from this country to Canada show a falling off, according to figures just issued at Ottawa by the Canadian Statistician. For the twelve months ended September, 1919, there is a decline in United States exports to Canada ...","Article"
"60",60,"Suggestion comes from England that the three chief principal countries in which the sport of boxing is practiced-- America. Great Britain, and France-- should adopt an international code of rules and a standard scale of weights.","Article"
"61",61,"CURRENT discussion respecting a national budget is interesting both for what is said and for what is left unsaid. It has been treated  by distinguished members of Congress and of the Executive, including in both cases those now serving and those w...","Article"
"62",62,"WASHINGTON, Oct. 31.--By unanimous vote the Senate Interstate Commerce Committee today refused to grant the request of representatives of the Railroad Brotherhoods that hearings be reopened on the anti-strike provision of the railroad bill.","Article"
"63",63,"Wins in municipal elections","Front Page"
"64",64,"will aid Govt in maintaining fuel supply during coal strike","Article"
"65",65,"While it was said yesterday by one of the best-posted retail credit men in the city that there has been no marked increase in the amount of buying done by the public since the armistice was signed nearly a year ago, the advances that have taken pl...","Article"
"66",66,"Established","Article"
"67",67,"Govt announces increase in crop","Article"
"68",68,"Plans","Article"
"69",69,"vs Vermont","Article"
"70",70,"PARIS, Nov. 1.--Stephane Lauzanne in the Matin today makes a strong appeal to the United States to accept a mandate for Constantinople. He terms it the request of all Europe to the one nation in a position to solve the Turkish problem.","Article"
"71",71,"comments on altitude record made by Maj Schroeder","Article"
"72",72,"table showing total number of miners employed throughout country","Article"
"73",73,"Rabbi Wise contributes to and indorses campaign","Article"
"74",74,"reports prosperity in dry goods trade","Article"
"75",75,"ALBANY, Nov. 2.--The resources reported by the 100 trust companies, 214 State banks of deposit and discount and the ninety-two private bankers under the supervision of the State Superintendent of Banks on Sept. 12, 1919, aggregated $4,952,582,110.","Article"
"76",76,"Platt Adams, former New York A.C. athlete, who won the Olympic standing high jump championship and finished runner-up for the broad jump title in the last International classic held in Stockholm in 1912, has been appointed coach of the Italian tea...","Article"
"77",77,"BOSTON, Mass., Nov. 1.--""Coolidge by 75,000 at least,"" was the prediction heard on the streets tonight of the result of Tuesday's election. Some political prophets placed the expected majority for the Republican candidate for Governor at 100,000 t...","Article"
"78",78,"Says exports to Russia are increasing","Article"
"79",79,"","Obituary"
"80",80,"","Article"
"81",81,"","Article"
"82",82,"","Article"
"83",83,"","Article"
"84",84,"","Article"
"85",85,"With almost every Eastern building material dealer aligned with the consumer against further increases in the cost of construction commodities and the manufacturers of at least several items entering into general building construction already begi...","Article"
"86",86,"CAMBRIDGE, Mass., Nov. 1.--Except in the first period today, the Springfield Y.M.C.A. College football team gave Harvard plenty of action, the Crimson scoring only three touchdowns and two goals for a final score of 20 to 0. After the intermission...","Article"
"87",87,"KANSAS CITY, Mo., Nov. 1.--Organized labor cannot count on the farmers to join it in any efforts further to shorten the hours of labor or increase wages, and organized labor must soon heed a concerted demand from the farmers that it not only cease...","Article"
"88",88,"Irwin Untermyer, candidate for Justice of the Supreme Court on the Tammany ticket, last night made public a statement by George Lee Carr, military clerk of local Board 126, who took Mr. ...","Front Page"
"89",89,"A subway loop, to circle the great shopping, hotel and theatrical district between Times Square and Thirtyfourth Street, suggested by the Thirtyfourth Street Board of Trade, has received the indorsement of such transit experts as Travis H. Whitney...","Article"
"90",90,"Shipping Bd plans to build 1,731","Article"
"91",91,"Rioting in Alexandria","Article"
"92",92,"Bklyn workmen threaten to break agreement and strike for wage increase","Article"
"93",93,"Unless the investor in railroad securities receives better treatment and more consideration than he has been receiving for the last few years, there is danger that he will liquidate his holdings and necessitate the taking over of the roads by the ...","Article"
"94",94,"COME, let us live with our children!"" Froebel delivered that message a good many years ago when the burden of parenthood was not as it is today, that  the children ""are too much with us late and soon."" Not that the parent, ...","Article"
"95",95,"CLEVELAND, Ohio, Oct. 31.--Following a meeting at noon today of sixteen operators, comprising the Executive Committee of the central competitive field and representing Western Pennsylvania, Ohio, Indiana, and Pennsylvania, T.C. Brewster of St. Lou...","Front Page"
"96",96,"ed","Article"
"97",97,"CALIFORNIA in the raw and turbulent fifties, the Far West in the days of the Vigilantes and of lonesome, swift-shoot  ing men, grown rich and reckless with new struck pay-dirt, dusty saddlebags, heavy with the winnings of last ...","Article"
"98",98,"PITTSBURGH, Penn., Nov. 1.--Between 40,000 and 50,000 coal miners laid down their tools in Western Pennsylvania this morning in response to the nation-wide strike call, but most nonunion men remained on the job. In nearly all sections where nonuni...","Article"
"99",99,"The trade reviews of the week agree that labor unrest continues to overshadow general business, but that distribution to consumers continues heavyin almost all lines.  ","Article"
"100",100,"The Department of Agriculture's special report on the condition of the cotton crop, issued yesterday morning as of Oct. 25, made the condition 51.1 per cent. of normal, which, while it may be regarded generally as bullish, did not ...  ","Article"
"101",101,"","Article"
"102",102,"","Article"
"103",103,"Of all the schemes for raising funds for the Roosevelt Memorial Association the latest plan of the golf clubs out in Union County, New Jersey outdoes all previous tourneys on the links in uniqueness.  ","Article"
"104",104,"CLINTON, N.Y., Nov. 1.--On a soft, muddy field Vermont overcame the Hamilton team today, 6 to 0, when a fumbled kick rolled over Hamilton's goal line and the speedy Green Mountain boys covered it in a flash. The game early developed into a kicking...","Article"
"105",105,"That the trend to the suburbs which has been manifest for several years past has gained increased momentum of late is attested by the fact that there is an acute shortage of homes in the outlying sections of the metropolis.  ","Article"
"106",106,"","Article"
"107",107,"","Article"
"108",108,"","Article"
"109",109,"The National Automobile Chamber of Commerce will hold its annual dinner on Jan. 6, during the big show week, at the Hotel Commodore.  ","Article"
"110",110,"Gardiner W. White wound up a glorious metropolitan golfing season yesterday afternoon with his best victory of the whole year. He defeated his old rival, the player who has been tracking and trailing him around one course after another, Sam J. Gra...","Article"
"111",111,"","Birth Notice"
"112",112,"FOR the first time in a long and successful literary career. Basil King  has turned aside from fiction, of which he has a dozen or more volumes to his credit, and in this new book enters the field of report, exposition, narrative, and argument.  ","Article"
"113",113,"","Article"
"114",114,"The modern educational survey is a praiseworthy device for the promotion of efficiency and responsiveness in a  field of public service which is especially prone to suffer from stagnation. So potent has been the force of inertia that, in retrospec...","Editorial"
"115",115,"","Article"
"116",116,"Winton, V. C., sued for divorce; Mrs. J. H. Livingston named","Article"
"117",117,"Gaza, principal town in South Palestine, the city from which Samson once carried off the gates, lies half ruined by the war, its commercial importance gone, with the romance which has come down from Bible times and the Middle Ages as its only poss...","Article"
"118",118,"The United States Steel Corporation yesterday announced that it had purchased $10,000,000 of the new 5  per cent. United Kingdom loan of $250,000,000. It was also stated that the Steel Corporation would become a participant in the underwriting wit...","Article"
"119",119,"STOCKHOLM, Nov. 2.--The town of Krasnaia Gorka, the strong Bolshevist position on the Gulf of Finland just to the west of the island on which the fortress of Kronstadt stands, has capitulated to the forces of General Yudenitch, accordtng to a disp...","Article"
"120",120,"Two Princes of the Catholic Church last night joined in a message to the American people urging support for the nation-wide movement to raise $500,000 with which to build and equip a new library at the University of Louvain to replace the historic...","Article"
"121",121,"MORGANTOWN, W.Va., Nov. 1.-- The coal strike involves questions greater than the demands of the miners for increased wages, a six-hour day, and a five-day week, in the opinion of Senator Davis Elkins, who came here today to look over the strike si...","Article"
"122",122,"Vs Lehigh","Article"
"123",123,"Somewhere about the middle of this month New York City will be visited by a young Englishman dressed in the uniform of a Captain in the British Navy, who is known as H.R.H. Edward Albert Christian George Andrew Parick David, Prince of Wales, and E...","Article"
"124",124,"Addressing the Printers' League Section of the Association of Employing Printers at their meeting in the Hotel Astor yesterday morning, James Freel, ...","Article"
"125",125,"progress of drive","Article"
"126",126,"Ban Johnson's call for a meeting of the Rules Committee of the two leagues should result in much good. There are many minor points in scoring and playing rules which might be changed, even ...","Article"
"127",127,"Alarm that will be felt by the pious upon hearing that the head of the Episcopalian Church Temperance Society intends to make that body's saloon-substitutes ""as wicked as we can have them"" must be tempered by the ...","Editorial"
"128",128,"Levenson, M., awarded $5,000 damages against R. M. Terry","Article"
"129",129,"Contributions","Article"
"130",130,"Unless an agreement is reached today between the milk distributers and their drivers, New York faces the probability of a strike of milk drivers. The final offer of the employers, as made late Friday afternoon, was unanimously rejected at a meetin...","Article"
"131",131,"Exposition of manufactures","Article"
"132",132,"PARIS, Oct. 31.--The Peace Conference will be over by the 1st of December if the Americans and British have their way. The French would be willing to govern the world from Paris indefinitely, but the Americans and British have had enough of it--es...","Article"
"133",133,"NARVA, Nov. 1.--Military fortunes have ebbed and flowed during the last few days. The Russians have recovered much recently lost ground and taken 2,000 prisoners.","Article"
"134",134,"leaps off liner to escape deportation; is picked up and returned to ship","Article"
"135",135,"A gallery of 400 tramped around the Richmond County Country Club's links  yesterday afternoon to watch one of the closest four-ball matches of the year and to see A.F. Kammer of Baltusrol  and Gaines Gwathmey of Apawamis defeat Archie McIlwaine of...","Article"
"136",136,"Student Council votes against making it major sport","Article"
"137",137,"","Article"
"138",138,"","Article"
"139",139,"","Front Page"
"140",140,"","Article"
"141",141,"The eyes of the football fans turn today toward the distant town of Hanover, N.H., where the first real championship battle is to be staged, with Dartmouth and Colgate as the contenders.  ","Article"
"142",142,"Chicago and Wisconsin, the two Western elevens which are still in the hunt for the conference title along with Ohio State, will meet Illinois and Minnesota ...  ","Article"
"143",143,"","Article"
"144",144,"","Article"
"145",145,"","Article"
"146",146,"","Article"
"147",147,"","Article"
"148",148,"DURING the war there were published, from time to time, reports written by men in the library service of the army giving frag  mentary accounts of a phase of the soldiers' life overseas that could hardly be found either in press dispatches or in ....","Article"
"149",149,"","Article"
"150",150,"","Obituary"
"151",151,"More than 75 per cent. of the saloons in New York City are closed and the vast majority of those whose doors are open are engaged in the legitimate sale of soft drinks and lunches, according to Federal agents.","Front Page"
"152",152,"ST. JOHN'S, N.F., Nov. 2.--Newfoundland will hold its first general election in six years tomorrow, the ordinary four-year term of the Legislature having been extended from 1917 because of the war.","Article"
"153",153,"Mayor HYLAN is quoted as saying that the people will not find much fault with next year's budget as finally adopted, although he himself had found fault with the proposed budget.","Editorial"
"154",154,"Annual meeting; officers elected","Article"
"155",155,"Report","Article"
"156",156,"Bomb exploded outside the Foreign Office in Tokio","Article"
"157",157,"WASHINGTON, Oct. 31.--Secretary Baker today announced the names of the general officers, numbering 101, to be retained in the Army under the provisions of the bill which allows a total of 18,000 officers during the current year.","Article"
"158",158,"The Boston Terrier Club of New York held its twelfth annual specialty show on the roof of the Waldorf-Astoria yesterday, and the exhibition broke all records in the history of the organization. Nearly 150 dogs were benched, the total entries runni...","Article"
"159",159,"vs Harvard","Article"
"160",160,"Plans for keeping 5th Av clean considered at luncheon; bands to attract workers to parks during lunch hour discussed","Article"
"161",161,"PARIS, Nov. 1.--The Peace Conference has had another serious trouble thrust upon it. Rumania announced to the Supreme Council today that she had annexed Bessarabia.","Article"
"162",162,"Holland produces its first supply","Article"
"163",163,"WASHINGTON, Nov. 2.--Alleging that an article in the November ""World's Work"" written by Admiral William S. Sims embodies ""an open insult to millions of American citizens,"" the Irish National Bureau, through Daniel O'Connell, its Director, has writ...","Article"
"164",164,"The other day I was in the offices of the New York club and John McGraw came in with Frank Kramer, the bicycle rider. They had been out at the Polo Grounds looking the field over with the idea of installing a collapsible truck there on which bicyc...","Article"
"165",165,"The Roosevelt Memorial Association announced yesterday that the example of New York University in establishing a branch of the association had been followed by so many other colleges that it had been found necessary to start a Roosevelt College Le...","Article"
"166",166,"","Article"
"167",167,"","Article"
"168",168,"","Article"
"169",169,"IN so far as the American theatre was concerned Elsie Janis was unquestionably the heroine of the war. She was the first American entertainer in France, and she strayed  long.  ","Article"
"170",170,"","Article"
"171",171,"","Article"
"172",172,"Football played true to its 1919 form on Saturday in the matter of upsets and surprises. It has been a hard season for the gridiron dopesters, but an eminently interesting one because of the uncertainty and general topsy-turviness that it has deve...","Article"
"173",173,"","Article"
"174",174,"","Article"
"175",175,"The Wholesale Coal Trade Association of New York sent a letter yesterday to the President and to members of his Cabinet and of Congress protesting against the fixing of the price of coal. The letter says:","Article"
"176",176,"vs Yale","Article"
"177",177,"death","Obituary"
"178",178,"","Article"
"179",179,"","Article"
"180",180,"","Article"
"181",181,"tells of difficulty of being transferred to Amer forces from Canadian, lr","Article"
"182",182,"Regulations control exports","Article"
"183",183,"IT was hard to keep the crisis in the threatened miners' strike from bobbing up in Congress last week, even when subjects remote from it were under consideration. Thus miners'  wages captured the floor of the House for a few minutes and held it wi...","Article"
"184",184,"arrested on charge of criminal anarchy","Article"
"185",185,"","Article"
"186",186,"CHICAGO, Nov. 2.--All information obtainable from the bituminous coal fields of the United States, in which more than 400,000 members of the United Mine Workers of America have been ordered out on strike, indicated ...","Front Page"
"187",187,"The Citizens Union, through Walter T. Arndt, its Secretary, made public yesterday a statement in which it was charged that Mrs. Mary M. Lilly, member of the Assembly from the Seventh Manhattan District and a candidate for re-election on the Democr...","Article"
"188",188,"Prominence will be given to the thoroughbred, in classes to halter, of chief interest to breeders, as saddle horses, hunters and jumpers, and as polo mounts, at the National Horse Show, in Madison Square Garden, from Nov. 17, to 21, to raise a fre...","Article"
"189",189,"","Article"
"190",190,"TOSCA"" is announced to open the Metropolitan Opera season two weeks from tomorrow evening.  Three of the company's most popular artists will take part in the performance--Miss Farrar, who has just returned from a concert tour; Mr. Caruso, who is d...","Article"
"191",191,"BETHLEHEM, Penn., Nov. 1.--Tom Davies proved Pitt's guiding star today in a titianic struggle with Lehigh, both touchdowns scored by the Panthers being credited to him. The fianal score  was 14 to 0. Hastings kicked both goals. These scores came i...","Article"
"192",192,"WASHINGTON, Nov. 1.--The amount it was agreed to pay to Mexican bandits for the release of William O. Jenkins, United States Consular Agent at Puebla, was 300,000 pesos, which was in addition to 50,000 pesos stolen by the bandits from Jenkins's of...","Article"
"193",193,"Major of Infantry, U.S.A. NOBODY, probably, would regard  the regular army as a training school for the ministry. Yet the enlisted ranks number min  isters of the Gospel among ""army graduates""--as well as engineers, surgeons and other professional...","Article"
"194",194,"TO be wrecked thousands of miles from civilization, losing ship, cargo and nearly every thing one has taken along for sustenance  during the arctic Winter, is a desperate experience. It is especially desperate when one has the responsibility for a...","Article"
"195",195,"ANNAPOLIS, Md., Nov. 1.--The midshipmen proved themselves better mud purses than the mountaineers this afternoon, defeating the hard-fighting eleven of West Virginia Wesleyan by 20 to 6, on a soggy field, with the rain falling during most of the p...","Article"
"196",196,"","Article"
"197",197,"It is only by an unwarrantable stretching of the term that the volume of plays by SHAKESPEARE for which Mr. H.C. FOLGER, JR., paid the record price of $100,000 can be called ""a First Folio""-- or, indeed, a folio of any kind. The volume is not of t...","Editorial"
"198",198,"WIRELESS telegraphy is new; wireless communication is as old as Biblical times.""  With this statement the National Geographic Society quotes from a communication by John A. Kingman, who sets forth the interesting theory that the island of Capri wa...","Article"
"199",199,"THE story of Colonel Theodore Roosevelt's Life and character  might be written from a study of the vast store of gifts, trophies, books, land personal souvenirs at Sagamore Hill.","Article"
"200",200,"Leased by M. Spiegel","Article"
"201",201,"MEXICO CITY, Nov. 1.--President Carranza, talking over questions asked by the Mexico City papers, stated to me today that all stories of his not wishing to turn over the Presidency were foolish, as he was tired and only too willing to retire after...","Article"
"202",202,"BERLIN, Oct. 31, (Associated Press.) --Dr. von Bethmann Hollweg, who was German Chancellor during the greater part of the war, underwent today a grilling interrogation before the National Assembly sub-committee which is endeavoring to determine wh...","Article"
"203",203,"Northeastern N. Y. branch to be formed","Article"
"204",204,"Maj Gen Black retired at his own request","Article"
"205",205,"Another robbery in the lower Fifth Avenue section, in the home of Mrs. William J. Gaynor, widow of the Mayor, at 9 West Ninth Street, was reported to the police yesterday by her son, Rufus Gaynor.","Front Page"
"206",206,"more than a million demobilized","Article"
"207",207,"Deface royal arms in Irish police court","Article"
"208",208,"permits granted for 5 new lines, one Manhattan and 4 Bklyn routes approved by Bd of Estimate; will charge 5-cent fare","Article"
"209",209,"The first case of alleged sugar profiteering to come to public notice since the war was investigated yesterday at a hearing before Federal Food Administrator Arthur Williams, in the latter's offices.","Article"
"210",210,"Cargo vessels and passenger liners being built for Indo-China trade","Article"
"211",211,"Recruiting for the Regular Army of 278,000 men authorized for the fiscal year, which began in February, is not brisk enough to suit the hard-working officers in charge of it.","Editorial"
"212",212,"BERNARD GALLANT, sometime publicity man for the Mexican Government, later manager of the Greenwich Village Theatre, and now manager of the Green  wich Village Inn in Sheridan Square, is the first man in New York to go to jail on a charge of sellin...","Article"
"213",213,"ill","Article"
"214",214,"THE HAGUE, Nov. 1.--From all reports reaching me, politics and the conclusion of a book are occupying the exCrown Prince more than anything else these rainy days and all visitors to his island are immediately plunged into long political discussion...","Article"
"215",215,"THE stage beginnings of Sidney Toler, whose performance as the  detective-butler in ""On the Fliring Line"" has been one of the comedy high spots of the week,  were beset by more than the customary trials and tribulations, and the story of ...","Article"
"216",216,"eulogizes R. J. Preston, lr","Letter"
"217",217,"With the close of the first month of the lockout of the seceding pressmen and the ""vacations"" of the compositors the opinion prevailed yesterday among both the employes and the employers that the present tieup in the printing industry could not co...","Article"
"218",218,"15,540 at work in Youngstown","Article"
"219",219,"death and career","Article"
"220",220,"Announces order is nearly filled","Article"
"221",221,"Manhattan workers are returning, situation in Bklyn unimproved","Article"
"222",222,"Repr Baer introduces resolution urging it","Article"
"223",223,"Tomorrow the Episcopal Diocese of New York will observe Laymen's Day, and men prominent in affairs in this and other cities will occupy the pulpits in churches of that denomination.  ","Article"
"224",224,"","Article"
"225",225,"","Article"
"226",226,"","Article"
"227",227,"","Article"
"228",228,"","Article"
"229",229,"","Article"
"230",230,"BALTIMORE, Oct. 31.--While the Democrats have tried to confine the issues in the exciting State campaign now closing to state mutters, the Republicans have injected national issues, charging the Wilson Administration with gross extravagance and ur...","Article"
"231",231,"","Article"
"232",232,"MORE than a month after the start of New York's unprecendentedly early concert season, the time have  come for what would formerly have been its opening events, the resumption in the next fortnight of all the great orchestral series and then the o...","Article"
"233",233,"","Article"
"234",234,"","Marriage Announcement"
"235",235,"","Article"
"236",236,"","Article"
"237",237,"","Article"
"238",238,"","Article"
"239",239,"","Article"
"240",240,"","Article"
"241",241,"","Article"
"242",242,"A WEEK which bid fair to offer three or four new ufterings in the Broadway temples has suffered a pair of postponements. As a result thereof there will  be but one new production in the theatres during the week--a musical version of an old friend....","Article"
"243",243,"","Obituary"
"244",244,"","Article"
"245",245,"","Article"
"246",246,"Mongolia is far away, and yet a recent disturbance in the inner circles of Outer Mongolia will find sympathetic understanding in Greenwich Village, or whatever quarter the ...","Editorial"
"247",247,"PHILADELPHIA, Penn., Nov. 1.-- Eight were killed and twenty-seven injured when a Pennsylvania train crashed into a truckload of Hallowe'en masqueraders near Clarksboro, N.J., tonight.","Article"
"248",248,"Dental care to be provided for Italian school children","Article"
"249",249,"This is the time of America's opportunity for investment in foreign countries, according to Francis H. Sisson, Vice President of the Guaranty Trust Company, who is of the opinion that the investing public should be made to see that opportunity. He...","Article"
"250",250,"Robert H. Treman, senior Deputy Governor of the New York Federal Reserve Bank since July, 1916, and in the absence of Governor Strong, Acting Governor, yesterday resigned as an officer of the institution.","Article"
"251",251,"The nature of the particular phase of the traction situation that the Extraordinary Grand Jury has given intimation is to be investigated, despite the protest  and advice to them by the District Atorney, to the effect that the jury was charged to ...","Article"
"252",252,"Phila Liberty League will play game on Sunday to test Blue Law","Article"
"253",253,"charged by Untermyer with misstating facts about registration under selective draft law","Article"
"254",254,"Lubomirski presents credentials to Acting Sec Phillips","Article"
"255",255,"DENVER, Col., Nov. 1.--Colorado mines today were producing 15 per cent. of their normal output of coal, according to a statement issued by James Dalrymple, State Coal Mine Inspector. Mr. Dalrymple based his estimate on reports from all properties ...","Article"
"256",256,"VLADIVOSTOK, Oct. 26, (Associated Press.)--A train with part of a consignment of 68,000 rifles recently shipped from America for Admiral Kolchak was held up at Chita, Trans-Baikalia, on Oct. 24 by General Semenoff, an antiBolshevist leader in that...","Article"
"257",257,"court decides he is entitled to $2,000 from F. A. Munsey for film rights from his story","Article"
"258",258,"WASHINGTON, Nov. 2.--With the Government prepared to meet any emergency and awaiting the result of the expected return to work tomorrow and Tuesday of some union miners, and as well the expected use of non-union miners in the affected districts, t...","Front Page"
"259",259,"lr on Sen Williams and the Irish","Letter"
"260",260,"PITTSBURGH, Penn., Nov. 2.--The Pennsylvania State Federation of Labor, at the close of an emergency convention called by President James P. Maurer to ""devise means of restoring civil liberty in Western Pennsylvania,"" ...","Front Page"
"261",261,"ON BOARD THE STEAMSHIP GEORGE WASHINGTON, Oct. 31, (by Wireless to The Associated Press.)-- King Albert of Belgium sent the following radio message of adieu to President Wilson, immediately after the George Washington sailed:","Article"
"262",262,"Reinald Werrenrath, who has established his name as one of the best of American baritone singers, and whose  reputation has been steadily advanced by his artistic achievements, rather than by the arts of publicity, or even by his ...","Article"
"263",263,"Washington Heights cars collide, 10 hurt","Article"
"264",264,"Leased by H. B. McDowell","Article"
"265",265,"ushers strike for tips","Article"
"266",266,"High School of Commerce's football eleven struck a snag yesterday when it clashed with the Morris H.S. team on the Polo Grounds and was held to a scoreless tie by the Bronxonians.","Article"
"267",267,"campaign will be opened by Dr R. S. Copeland","Article"
"268",268,"Only fourteen gunners reported for the first Sunday shoot of the season at the Travers Island traps of the New York Athletic Club yesterday. The day was clear and were it not for a wind of moderate strength the conditions would ...","Article"
"269",269,"shot dead while driving in automobile race; Maj F. M. Scanland, 3 men, and 4 women arrested","Article"
"270",270,"When Harold S. Buttenheim, editor of The American City, conceived the idea of the National Community Memorial building movement as a war memorial, it is possible that he did not realize how big a thing it really was.","Article"
"271",271,"Before leaving Quebec for Antwerp on the steamship Megantic yesterday, Cardinal Mercier expressed his thanks to the American people for the reception accorded him in a message, which was given out here by George Gillespie, Chairman of the Mercier ...","Article"
"272",272,"issues warning","Article"
"273",273,"CRATER, Geo E. purchased ex-Kaiser's automobile built by Krupps","Article"
"274",274,"Scolcki, August, killed","Article"
"275",275,"BERLIN, Nov. 1.--The fear that Great Britain would lose the war, when the unrestricted submarine campaign became menacing, was the cause of America's entry into the war, Count Adam Tarnowski von Tarnow is quoted as ...","Article"
"276",276,"fair price lists","Article"
"277",277,"Weight of peso reduced to prevent hoarding of silver","Article"
"278",278,"WASHINGTON, Oct. 31.--A copy of a message he sent to Acting President John L. Lewis of the United Mine Workers of America in an eleventh hour effort to head off the coal strike, was made public today by Secretary of Labor William B. Wilson.","Article"
"279",279,"WASHINGTON, Oct. 31.--The United States Government tonight assumed control of every available ton of bituminous and lignite coal within the borders of the nation which had not actually been delivered by the railroads, in preparation for the battle...","Article"
