"","number","abstract","section_name"
"27",27,"A week after he was greeted by “lock him up” chants at Nationals Park, President Trump will host the World Series champions at the White House. But at least one star will stay away.","U.S."
"28",28,"The Memphis Grizzlies point guard has all the speed that made him a star in the last N.C.A.A. tournament. It works on the court, and helps him keep things moving as he adjusts to the N.B.A. grind.","Sports"
"29",29,"Recent residential sales in New York City and the region.","Real Estate"
"30",30,"This two-bedroom, one-bath apartment was originally listed for $430,000 and is now on the market for $325,000.","Real Estate"
"31",31,"This $349,000 apartment is in a 2006 condo.","Real Estate"
"32",32,"The owner of one of Los Angeles’s best-loved restaurants hits the road in search of an elusive apple.","Business Day"
"33",33,"A president facing a fight of his own decides to watch one at Madison Square Garden.","U.S."
"34",34,"The Massachusetts senator told reporters that her plan to pay for “Medicare for all” would raise taxes only on billionaires, but that differs from the proposal she unveiled on Friday.","U.S."
"35",35,"Read the documents The Times gathered to understand breath-testing machines, and the problems that have caused tens of thousands of tests to be thrown out.","Business Day"
"36",36,"A high school football coach on Long Island was disciplined for violating a county rule designed to prevent lopsided results.","New York"
"37",37,"Senator Elizabeth Warren and Mayor Pete Buttigieg increasingly are gaining momentum ahead of the February Iowa caucuses.","U.S."
"38",38,"A roundup of running news for runners and marathon fans.","Well"
"39",39,"Anthony Cailan was hailed recently as a rising star in the wine world. Now four women have come forward with allegations of sexual abuse.","Food"
"40",40,"The economy added 128,000 jobs in October, a figure that would have been higher without the General Motors strike and other factors.","Business Day"
"41",41,"Sebastián Piñera’s heavy-handed repression evokes memories of the dictatorship.","Opinion"
"42",42,"So this 65-year-old sportswriter decided to train for a marathon. His knees wanted to call an Uber.","Sports"
"43",43,"With forces from the Assad regime deploying in their old lands, Syrians are afraid to go back home.","World"
"44",44,"Brooke Watson and Nelson Madubuonwu dated briefly at their Memphis high school. A “magical” misprint on her plane ticket brought them together several years later in New York.","Style"
"45",45,"In a cluttered world of boutique fitness studios and high-end gear, Guillermo Piñeda Morales reminds us that we don’t need much to be our best.","Opinion"
"46",46,"Tens of thousands of people remained without power on Saturday and states of emergency were declared in 12 New York counties.","New York"
"47",47,"After helping kindergartners in Georgia with a class project in 2007, Brig. Gen. Vincent Buggs continued writing the students letters for years. Last month, he finally met his pen pals in person.","U.S."
"48",48,"Beto O’Rourke’s meme-ready instincts and hope-and-change flourishes seemed like a credible bet to counter President Trump. Until they didn’t.","U.S."
"49",49,"Here’s what you need to know about the week’s top stories.","Briefing"
"50",50,"The court ruling is the latest to derail administration initiatives to limit the admission of certain legal immigrants into the United States.","U.S."
"51",51,"This week’s episode began with a rare cameo-free cold open, which spoofed Elizabeth Warren.","Arts"
"52",52,"The founder of Carolines on Broadway and the New York Comedy Festival is always up for a laugh (and some unfussy coffee).","New York"
"53",53,"The company is spending more to promote the iPhone than it is on ads for ‘The Morning Show’ and other programs on Apple TV Plus.","Business Day"
"54",54,"The United States is virtually the only developed nation without a comprehensive consumer data protection law and an independent agency to enforce it.","Sunday Review"
"55",55,"Ronan Farrow wrestled with hard truths when writing “Catch and Kill,” which remains at No. 2 on the nonfiction list this week.","Books"
"56",56,"Far from neighbors and close to nature, these standout resorts prove that seclusion can take many different forms.","Travel"
"57",57,"Omega-3 in fish oil is said to improve arthritis and reduce the likelihood of heart attacks. But the science suggests: Maybe just eat a fish once in a while.","Style"
"58",58,"Friending while adulting … it’s complicated.","Style"
"59",59,"In a throwback to the Mao era, China is deploying students as watchdogs against teachers. It’s part of a campaign by President Xi to eliminate dissent.","World"
"60",60,"Ms. White, a Florida televangelist, is being brought into the Trump administration to help shore up his evangelical base — even though some Christians consider her beliefs heretical.","U.S."
"61",61,"Alcohol breath tests, a linchpin of the criminal justice system, are often unreliable, a Times investigation found.","Business Day"
"62",62,"Bernardine Evaristo, the first black woman to win the literary award, talks about her mission to write about the African diaspora and why her novel involves 12 interconnected characters.","Books"
"63",63,"For just over two hours Sunday, the New York City Marathon returned the sport to simplicity. Don’t expect it to last.","Sports"
"64",64,"A dissident politician and women’s rights advocate, she sought repeatedly to be accepted as a presidential candidate but each time was denied.","World"
"65",65,"Follow a Times photojournalist through a day of antigovernment protests filled with tear gas, arrests and Molotov cocktails.","World"
"66",66,"A recent trip to Turkey inspired David Tanis’s latest dinner party menu.","Food"
"67",67,"Joyciline Jepkosgei’s win over Mary Keitany may have signaled a changing of the guard. Geoffrey Kamworor won in New York for the second time.","Sports"
"68",68,"The S&P 500 set a new high for the third time this week, while the Nasdaq composite also rose to a record.","Business Day"
"69",69,"But the patient records system, called Epic, has a few shortcomings of its own, including a voice that amplifies the insecurities that come with being a doctor.","Health"
"70",70,"Classes, apps and message boards are trying to bridge the divide between the left and the right, one conversation at a time.","U.S."
"71",71,"In some of the world’s saltiest, most acidic bodies of superheated water, even the most extreme forms of archaea couldn’t survive.","Science"
"72",72,"Angela Hewitt, in the first of three recitals at the 92nd Street Y, began the final phase of her four-year journey through Bach’s complete keyboard works.","Arts"
"73",73,"When their teenage son was seriously injured in an accident, Stacy and Alfredo Perez stopped working to care for him. Accepting food assistance helped them rebound.","Neediest Cases"
"74",74,"Drones are increasingly being used by criminals across the country, and local law enforcement agencies are often powerless to stop them.","U.S."
"75",75,"The facility fee may be to blame for the added costs of a doctor visit.","Well"
"76",76,"The president’s tweeting was once a sideshow. But it transformed how he exerted power, leaving the White House and Twitter to grapple over whether, and how, to rein it in.","U.S."
"77",77,"Technology at the heart of drunken-driving cases across the country has been successfully challenged, with tens of thousands of tests thrown out.","Business Day"
"78",78,"From an audience of 11 followers to 66 million: the chaos and the compliment of getting a signal boost from @realdonaldtrump.","U.S."
"79",79,"Plans to put a billion-dollar development in the middle of nowhere point to the revived fortunes of Ihor Kolomoisky, a patron of Ukraine’s new president.","World"
"80",80,"“Beverly, Right Here” finishes the story of tough-luck Florida girlhood that began in “Raymie Nightingale.”","Books"
"81",81,"He developed the techniques he used to help locate sunken submarines and enormous stone heads, as well as early applications for artificial intelligence.","Science"
"82",82,"A fourth man was critically injured after the car the men were driving overturned in the Echo Park neighborhood, the authorities said.","U.S."
"83",83,"He played a comedy club M.C. on the Emmy-winning show. A New York-bred actor, he also had roles on the stage, in movies and in a soap opera.","Arts"
"84",84,"The couple met at Morgan Stanley, each in their first job out of college. Both were analysts in investment banking and sat two desks apart.","Fashion & Style"
"85",85,"“As a fat person, rolling around on the ground, I think that’s really cool, too,” Ms. Ditto said.","Style"
"86",86,"How films like “Get Out” and even “Toy Story” show touches of Stanley Kubrick’s horror classic.","Movies"
"87",87,"This sheet-pan chicken dinner stars two ingredients, paprika and parsley, you may be taking for granted.","Food"
"88",88,"On this dance team at a Queens community center, being a grandma is a plus.","Arts"
"89",89,"A former commander of the most secretive part of the prison compound told how the accused plotters of the Sept. 11 attacks were guarded by a secret force dressed like U.S. troops.","U.S."
"90",90,"Readers discuss agonizing decisions about whether to abort, and both the struggles and joys of raising children with serious disorders.","Opinion"
"91",91,"The couple met at Stanford, from which each graduated.","Fashion & Style"
"92",92,"The couple met on their first day of work, when, despite the bride living and working in Denver, she was assigned to new hire training in San Jose, where the groom lived.","Fashion & Style"
"93",93,"With “nunchi,” all you need is your eyes, your ears and a quiet mind.","Opinion"
"94",94,"Mr. Schiff leads the impeachment inquiry into President Trump. Depending on one’s viewpoint, he will either save the republic — or destroy it.","U.S."
"95",95,"The monumental art pieces of Nevada’s Burning Man festival have begun to show up in plazas, parks, museums and galleries across the United States.","Travel"
"96",96,"In Britain’s Brexit-scrambled politics, four parties are competing and the winning margins will be narrow. Nothing in this campaign is likely to go as the experts predict.","World"
"97",97,"In a hurry to pay for a soda, mysterious cake boxes and more reader tales of New York City in this week’s Metropolitan Diary.","New York"
"98",98,"The couple met in 2013, when her college roommate, whom he knew from high school, suggested they go out.","Fashion & Style"
"99",99,"The couple met in 2006 at a house party when the bride was visiting a mutual friend at Wesleyan University. They reconnected in 2009 via Facebook.","Fashion & Style"
"100",100,"The couple met in 1999, when their officiant introduced them, and reconnected in 2018.","Fashion & Style"
"101",101,"The couple met in 2014 when a mutual friend invited them to brunch at a Los Angeles restaurant.","Fashion & Style"
"102",102,"Corrections that appeared in print on Saturday, November 2, 2019.","Corrections"
"103",103,"Depriving people of a platform works — in unexpected ways.","Style"
"104",104,"Saudi Aramco, President Trump, WeWork.","Briefing"
"105",105,"A major retrospective of Nam June Paik, the foremost innovator of media art, begins a three-year international tour at Tate Modern in London.","Arts"
"106",106,"Most people see a fraction of what most museums have to offer. To make sure you get a real experience, not the short, tourist-friendly version, you need a plan.","Smarter Living"
"107",107,"After a quiet decade in Maine, a couple return to New York to be near their new grandchildren — and the Hudson River. Here’s where they wound up.","Real Estate"
"108",108,"The site’s editorial team, more than 20 journalists, resigned after an instance of what they saw as meddling by G/O Media.","Business Day"
"109",109,"Alan Gratz’s “Allies” introduces a new generation to the heroism — and fears, and doubts — of the young soldiers who fought in World War II.","Books"
"110",110,"A ‘Medicare for all’ proposal would push the boundaries of taxing corporations and the rich to fund expanded government programs.","Business Day"
"111",111,"Rogue Creamery, which took the top prize at the World Cheese Awards with its Rogue River Blue produced in Oregon, has seen sales and interest jump.","Food"
"112",112,"As stadium spectacles grow, teams are finding ways to welcome fans with autism and other sensory challenges.","Sports"
"113",113,"A beauty, a beast, a witch and a banana were among those taking part in free Halloween weddings at the Burlington County Prison Museum in New Jersey.","Fashion & Style"
"114",114,"Adding a coat of paint to pine floors can give them new life, but if you want a good result, do not skimp on the preparation.","Real Estate"
"115",115,"The treaty, disliked by President Trump, will run out in 14 months — and there is too little time to hammer out a new one, a Russian official said.","World"
"116",116,"Lt. Col. Alexander S. Vindman, who testified this week in the impeachment inquiry, said he was told not to discuss a call in which President Trump pressed Ukraine’s president for investigations.","U.S."
"117",117,"Follow the Commissioner’s Trophy, M.L.B.’s top prize, on the final day of the baseball season as it travels through studios, elevators and, finally, to a champagne-soaked clubhouse.","Sports"
"118",118,"The deal represents an aggressive attempt by Google to bolster its lineup of hardware products.","Technology"
"119",119,"The University of Louisiana at Lafayette and more than 20 universities license their own brands of beer. Those deals seem like no-brainers, but they come as the N.C.A.A. grapples with letting athletes strike their own.","Sports"
"120",120,"Chicago, a place that sometimes seems inured to gun violence, reeled after a shooting on Halloween. Witnesses came forward to talk to the police.","U.S."
"121",121,"The New York Police Department, like other law enforcement agencies, has created a podcast that delves into its most interesting cases.","Arts"
"122",122,"The Patriots have the stingiest defense the N.F.L. has seen in years. The Ravens have a uniquely versatile offense. They face off Sunday in a can’t-miss game in prime time.","Sports"
"123",123,"The global trade body found that the United States had not followed its rules in the way it imposed the duties and allowed China to retaliate with its own tariffs.","Business Day"
"124",124,"Clocks will fall back in 48 U.S. states on Sunday, but not in Arizona, which is home to one of the more peculiar quirks of the daylight saving system.","U.S."
"125",125,"The thousands of fires set to clear land for cattle in Brazil’s rainforest are widely seen as an environmental disaster. Local ranch hands have more conflicted feelings.","World"
"126",126,"The death of Ola Salem, whose body was discovered in a Staten Island park, has left her family and friends with more questions than answers.","New York"
"127",127,"Ms. Warren said “complacency does not win elections,” as she pushed for big changes, while moderates like Pete Buttigieg and Joe Biden vowed they could unite the country.","U.S."
"128",128,"For years, he kept Latino families glued to their televisions as he dramatically revealed their futures, as foretold by the stars.","World"
"129",129,"Part-time visitor services associates at the museum in Los Angeles said they seek higher pay for their role in supporting its efforts.","Arts"
"130",130,"James MacMillan’s setting of the centuries-old poem will have its American premiere at Lincoln Center’s White Light Festival.","Arts"
"131",131,"The home-sharing platform has offered several novelty lodging opportunities lately, like a stay in Barbie’s mansion or a night in the Goodyear blimp. They earn headlines, and that’s the point.","Business Day"
"132",132,"The Pentagon has made strides in helping those in need, but the rate of deaths is rising.","Opinion"
"133",133,"The former Texas congressman, who energized Democrats in a Senate race last year, began his White House run to great fanfare but failed to build significant support.","U.S."
"134",134,"The president is among thousands of New Yorkers who move to Florida every year. Native Floridians weigh in with their best advice, like “the sun is not your friend.”","U.S."
"135",135,"The behavior is so consistent across species and in the wild that some scientists think it must be intentional.","Science"
"136",136,"Several others were injured in the shooting in Orinda, east of San Francisco, the authorities said. Witnesses told local news outlets that it happened at a Halloween party.","U.S."
"137",137,"The lawyer said his client would respond to written questions, but Republicans, who have pushed for him to appear at an open hearing in the impeachment inquiry, appeared unsatisfied.","U.S."
"138",138,"The review comes after lawmakers raised concerns about TikTok’s growing influence in the United States.","Technology"
"139",139,"In this lesson, students will learn more about the global Dispatch section of The Times and consider the value of international news stories.","The Learning Network"
"140",140,"Does a Saturday-to-Monday weekend mean savings and fewer crowds? We tested the model in four cities.","Travel"
"141",141,"Friday: Remembering some of Donald J. Trump's defining New York moments now that he has declared Palm Beach, Fla., his primary residence.","New York"
"142",142,"America’s rapid suburban expansion into the wilderness, combined with the growing ferocity of wildfires, is posing new health threats.","U.S."
"143",143,"Steven Hayes is serving six life sentences for the 2007 murder of Jennifer Hawke-Petit and her two daughters, Michaela and Hayley.","U.S."
"144",144,"Paolo Pasco and Erik Agard have neatly organized this puzzle.","Crosswords & Games"
"145",145,"Ms. Warren garnered 22 percent in a New York Times/Siena College poll, to 19 percent for Bernie Sanders. Pete Buttigieg has surged, while Mr. Biden’s travails have put the race in flux.","U.S."
"146",146,"Deborah F. Rutter built a major expansion at Washington’s venerable arts complex. Now she wants more people to come.","Arts"
"147",147,"A sword said to have belonged to President William Henry Harrison was stolen in 1979. Last month, the sword — or one that looks like it — was found at an auction in Connecticut.","U.S."
"148",148,"This word has appeared in 146 articles on NYTimes.com in the past year.","The Learning Network"
"149",149,"What is your reaction to the Nationals’ win?","The Learning Network"
"150",150,"Here’s what you need to know at the end of the day.","Briefing"
"151",151,"Congress will be on a weeklong break, but the committees and staff conducting the investigation will continue interviewing a number of important witnesses.","U.S."
"152",152,"The move could effectively shut off one of the biggest markets for an industry that is facing pressure around the world.","Business Day"
"153",153,"Personal attacks don’t hurt him. Substantive ones do.","Opinion"
"154",154,"And they don’t have to give up their principles to do it.","Opinion"
"155",155,"Trent H. Evans rocks out.","Crosswords & Games"
"156",156,"No longer a lifelong New Yorker, the president returned to the city a week after being booed at the World Series.","Sports"
"157",157,"Yewande Komolafe’s braised chicken with rosemary and salted lemon is full of things you’ll want to eat.","Food"
"158",158,"The WTA created a Legacy Fund to support the early players on the women’s pro tour who missed out on a pension.","Sports"
"159",159,"Saoirse Kennedy Hill, 22, died at the family compound over the summer.","U.S."
"160",160,"For her first feature film, the director, who is known for viral music videos, was haunted by the footage of Sandra Bland’s arrest.","Movies"
"161",161,"Bake your apples, prep for Thanksgiving, or make Dorie Greenspan’s latest recipe for Lisbon chocolate cake.","Food"
"162",162,"Mr. Frank juggled several roles in a long career: He represented sportscasters, created TV shows and negotiated rights deals.","Sports"
"163",163,"The National Highway Traffic Safety Administration is looking into why a number of Tesla vehicles have spontaneously burst into flames.","Business Day"
"164",164,"No sign of a recession, but wage growth is flatlining.","The Upshot"
"165",165,"The endowment model and the 60/40 split offer different risks and returns. Investors should examine the pros and cons before embracing either strategy.","Your Money"
"166",166,"We could make every show about the impeachment inquiry. Here’s why we’re not.","Podcasts"
"167",167,"President Trump began road-testing his administration’s theory that he is his own best defense against impeachment. “The Democrat party has gone completely insane,” he told a crowd in Mississippi.","U.S."
"168",168,"Curry, the Golden State Warriors’ guard, broke his hand in a fall during a game against the Phoenix Suns on Wednesday.","Sports"
"169",169,"The House Republican campaign arm sent empty boxes to the offices of Democrats who endorsed the impeachment inquiry. They were deemed suspicious packages.","U.S."
"170",170,"Though it is rooted in street dance and hip-hop, ‘Inoah,’ by the choreographer Bruno Beltrão, is something altogether stranger.","Arts"
"171",171,"The indefinite hold halts a $105 million package that the State Department and Congress had approved. Analysts say the winners could be Iran, Russia, the Islamic State and Al Qaeda.","World"
"172",172,"The Fab Five brings its self-help expertise to Tokyo, and “The Affair” reaches its series finale.","Arts"
"173",173,"Bloodless revolutions from Armenia to Lebanon are about ending the fatalism corrupt rule engenders.","Opinion"
"174",174,"In a legislative district in southern New Jersey, the polarizing national battle over impeachment is playing out in real time.","New York"
"175",175,"The assassination of an Afghan government employee while his  daughter was next to him has underscored the lasting trauma of the intensifying war.","World"
"176",176,"Here’s a rundown of what happened in the Democratic primary race this week.","U.S."
"177",177,"The overhaul envisioned by a sibling company of Google has been lauded for its innovations. It’s also been called a “corporate surveillance state.”","World"
"178",178,"Anthony Black’s play is about the life-sustaining power of creating art. But it never overcomes the dull short story from which it’s adapted.","Theater"
"179",179,"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for November.","Arts"
"180",180,"Did you stay up-to-date this week?","Briefing"
"181",181,"The couple met six years ago on an Ultimate Frisbee field in Minneapolis.","Fashion & Style"
"182",182,"The Times reporters discuss the story they were surprised didn’t turn into bigger news, the executive actions with the longest-lasting impact, and partisanship in America.","Reader Center"
"183",183,"A roundup of things our editors — and a few contributors — are excited about in a given week.","T Magazine"
"184",184,"Readers welcome the House resolution, but ask why it wasn’t done sooner.","Opinion"
"185",185,"Tom Workman’s name doesn’t appear in our report on the tests underpinning a million drunken-driving cases a year. But he was crucial to it.","Reader Center"
"186",186,"Scientists assembled a 1,500-year history of big storm activity by retrieving sediment from the island country’s submarine caverns.","Science"
"187",187,"A word to the youngs: The shiny tools of modernity will always fall prey to the ancient flaws of humanity.","Opinion"
"188",188,"The law of presidential succession is broken, and it ought to be fixed immediately.","Opinion"
"189",189,"Forget Scandinavia. Switzerland is richer and yet has a surprisingly equal wealth distribution.","Opinion"
"190",190,"The revenue ideas are pretty good. The plan is still a problem.","Opinion"
"191",191,"Quotation of the Day for Sunday, November 3, 2019","Today’s Paper"
"192",192,"David Oshinsky talks about Edmund Morris’s “Edison,” and Tina Jordan discusses new memoirs by Demi Moore, Julie Andrews and Carly Simon.","Books"
"193",193,"Why Anna Deavere Smith handed Michael Benjamin Washington a revival of her breakthrough 1992 documentary solo show about the Crown Heights race riot.","Theater"
"194",194,"For a special report, The Times sorted more than 11,000 Twitter posts to understand a new form of executive power.","Times Insider"
"195",195,"The Tesla chief executive announced that he was “going offline” and that he was “not sure about good of Twitter.”","Business Day"
"196",196,"The season already has its share of surprises, even if the past four weeks might not say much about how it all ends.","Sports"
"197",197,"Stephen Colbert compared House Republicans standing by President Trump to the captain of the Titanic “asking you to handcuff yourself to the port-side rail and swallow the keys.”","Arts"
"198",198,"Marilyn Stasio’s Crime column features an intricate British mystery by Martha Grimes. Also new books from Anne Perry, Linwood Barclay and Liam McIlvanney.","Books"
"199",199,"The undoing of top officials showed the country’s low tolerance for anything with even a hint of political bribery.","World"
"200",200,"The congresswoman from California resigned after “revenge porn” photos revealed her affair with a subordinate.","U.S."
"201",201,"When Sarah Stiles bowed out of the series “Get Shorty” to take a role on Broadway in “Tootsie,” the TV show explained the exit with a story line based on her experience.","Theater"
"202",202,"If Californians don’t already have enough to worry about during fire season, there are also logistical challenges that turn everyday routines into tiresome burdens.","U.S."
"203",203,"The European Union spends $65 billion a year subsidizing agriculture. But a chunk of that money emboldens strongmen, enriches politicians and finances corrupt dealing.","World"
"204",204,"The bankruptcy saga of the famed New York department store involved last-minute alliances and vain attempts to cobble together competing bids.","Business Day"
"205",205,"At One Manhattan Square, a new 815-unit skyscraper, the developer has offered incentives like an offer to pay for seven years of common charges.","Real Estate"
"206",206,"A two-bedroom apartment in this new 23-story condo tower recently sold for $995,000.","Real Estate"
"207",207,"A musicologist explains why the sound is everywhere again.","Opinion"
"208",208,"For decades, the central bank has raised rates to guard against coming price increases. Now, it seems to be raising that hurdle.","Business Day"
"209",209,"Eight journalists traveled the country to find out what people are thinking and feeling a year before the highly anticipated presidential election.","Reader Center"
"210",210,"Hear tracks by Tame Impala, Earl Sweatshirt, Pinegrove and others.","Arts"
"211",211,"A fractured House voted on the inquiry. A firsthand account of the Ukraine call. Bolton is summoned to testify.","U.S."
"212",212,"The 26.2-mile course takes some 50,000 runners through all five boroughs. They’ll see a little bit of everything along the way.","Sports"
"213",213,"The Springboks won the country’s third world championship, 32-12, extending the dominance of teams from the Southern Hemisphere.","Sports"
"214",214,"A sweeping Times investigation of all President Trump's tweets and followers shows how he has transformed the platform into a vital, and perilous, instrument of power.","U.S."
"215",215,"An installation on the High Line shares writing by prisoners in a space that emulates cells.","Arts"
"216",216,"She was a 20-year-old sprinter when she made history by lighting the caldron at the Summer Games in Mexico City in 1968.","Sports"
"217",217,"Women in West Africa who accuse men of sexual abuse have recently seen some change, but also an intense backlash — including threats and even a police investigation.","World"
"218",218,"His proposal arrived along with the green tea cheesecake at their favorite Japanese restaurant in Asbury Park, N.J.","Fashion & Style"
"219",219,"She thinks a single-payer health care system can save more than other analysts think. Here’s where she says she’ll get the money to pay for it.","The Upshot"
"220",220,"Ironing my son or daughter’s outfit for the day connects me to them and reminds me that we’re not alone in this world.","Opinion"
"221",221,"Boris Johnson’s government, which is preparing for a general election, said the ban would be in place until there was “compelling new evidence” that it could be carried out safely.","World"
"222",222,"For a century, presidential candidates were discouraged from openly campaigning — lest they appear power hungry like the British king America revolted against. Here’s why that all changed.","Video"
"223",223,"An impoverished life led the Kenyan champion to quit running. She found her way back, and has won seven major marathon titles.","Sports"
"224",224,"After a seven-game World Series in which both teams lost all their home games, the parade was the first opportunity for many fans to revel in the Nationals’ victory with the team.","U.S."
"225",225,"A new series tells a coming-of-age story based loosely on the life of Emily Dickinson. And an adaptation of a recent Broadway play hits Netflix.","Arts"
"226",226,"Women used to blame magazines for promoting unattainable standards. Now we blame one another. The pressure to be “real” is too much.","Opinion"
"227",227,"As efforts stall at the federal level, labor groups are working to lift pay in specific occupations and industries in a growing number of cities.","Business Day"
"228",228,"This was supposed to be a season of intrigue and excitement, but injuries, controversy and a big-man brawl have cast a pall over the games so far.","Sports"
"229",229,"How a meticulously crammed sewing-machine repair store became an accidental museum.","New York"
"230",230,"Our picks for November, including The Queen, Queer Eye and Catastrophe","Arts"
"231",231,"New additions include “The King,” staring Timothée Chalamet, Martin Scorsese’s “The Irishman” and “The Crown: Season 3”","World"
"232",232,"Directors have adapted challenging works by Virginie Despentes and Michel Houellebecq, with varying levels of success.","Theater"
"233",233,"Premier League champions only three years ago, Leicester has remade itself by gently casting off its heroes in favor of young talents.","Sports"
"234",234,"Eighteen female members of Parliament are not seeking re-election. Many say a barrage of abuse, online and offline, factored into their decision.","World"
"235",235,"The former All-Star outfielder replaces Mickey Callaway, who was fired in October after two seasons at Citi Field.","Sports"
"236",236,"The musician Stephen Morris said, “I’m still getting over the shock” at the unlikely recovery of his instrument.","World"
"237",237,"Benefits were held for Creative Time, Gabrielle’s Angel Foundation for Cancer Research and the New-York Historical Society.","Fashion & Style"
"238",238,"The large anti-government protests in Chile have led to more than 1,000 injuries. Among the most common: those caused by pellet guns fired by security forces.","World"
"239",239,"A network of 350 cameras that serve as mountain-top fire lookouts in the West have become an essential firefighting tool.","U.S."
"240",240,"The state has a platoon of auditors who zealously examine whether people are trying to skirt taxes by improperly claiming that they live elsewhere.","New York"
"241",241,"Nate Diaz, who fights this weekend at Madison Square Garden, is one of the U.F.C.’s top draws. The promotion isn’t as deep when it comes to stars for the future.","Sports"
"242",242,"A new fire that flared up in Ventura County has grown to cover nearly 9,000 acres, and is moving toward Santa Paula.","U.S."
"243",243,"President Trump offered a vivid account of the ISIS leader Abu Bakr al-Baghdadi “crying and screaming” in the final minutes before his death. The only problem: No one else knows what he’s talking about.","U.S."
"244",244,"Shiite authorities and Iraq’s president offered support for peaceful protesters, a move that emboldened more Iraqis to join antigovernment demonstrations.","World"
"245",245,"The Johann Christian Oerter rifle, taken from Valley Forge State Park in 1971, will go on display at the Museum of the American Revolution in Philadelphia.","U.S."
"246",246,"Kyrie Irving had his first game with 10 assists for Brooklyn in its 123-116 win over  Houston at Barclays Center.","Sports"
"247",247,"In choosing him, President Trump is passing over the acting F.D.A. commissioner, Norman E. Sharpless, who has been running the agency since Scott Gottlieb resigned last spring.","Health"
"248",248,"President Trump’s hawkish support of Israel has led many Democrats to question the United States’ relationship with one of its closest allies.","U.S."
"249",249,"The JLTV is designed to be a troop-pleaser — more comfortable, better protected, able to go anywhere. But experts debate whether the truck is the right vehicle for the conflicts to come.","U.S."
"250",250,"The officer shot a man who was wandering naked outside an apartment complex in suburban Atlanta.","U.S."
"251",251,"Favorites, long shots, sure things and no hopers, all at Santa Anita.","Sports"
"252",252,"Jennifer Aniston and Reese Witherspoon bring their star power to Apple’s new streaming service, and top thoroughbreds compete in this California race.","Arts"
"253",253,"Standing by your manager is now considered best practice in soccer, proof of the all-important long-term vision. But it isn’t for every coach, or every club.","Sports"
"254",254,"The president’s son devotes space in his new book to mocking Robert S. Mueller III’s performance testifying before lawmakers in July.","U.S."
"255",255,"On an ultra-low-cost carrier, there seems to be a price for anything extra. Here’s the gear we suggest you pack to have a comfortable flight.","Travel"
"256",256,"A person can rage pointlessly at hardship, or draw strength from it.","Opinion"
"257",257,"It’s not about free speech.","Opinion"
"258",258,"Let’s discuss Brexit, and then my pirate ancestor.","Opinion"
"259",259,"Under a new bill, a handful of new drugs might never get produced. That would be worth it.","Opinion"
"260",260,"His “Jojo Rabbit” may be the year’s most unlikely Oscar contender: a Nazi comedy. How will the irreverent director fare amid Hollywood’s sacred rituals?","Movies"
